consulta,categoria,respuesta,respuestas_compuestas,consulta_
¿Puedo reservar el laboratorio de idiomas para práctica libre?,instalaciones,"Sí, puedes solicitarlo en coordinación de idiomas con al menos 24 horas de anticipación.","¿Puedo reservar el laboratorio de idiomas para práctica libre? Sí, puedes solicitarlo en coordinación de idiomas con al menos 24 horas de anticipación.",¿Puedo reservar el laboratorio de idiomas para práctica libre? instalaciones
¿Qué hacer si los baños están en mal estado?,instalaciones,Debes reportarlo a mantenimiento desde el portal o en el módulo de servicios estudiantiles.,¿Qué hacer si los baños están en mal estado? Debes reportarlo a mantenimiento desde el portal o en el módulo de servicios estudiantiles.,¿Qué hacer si los baños están en mal estado? instalaciones
¿Hay salas de estudio grupal disponibles?,instalaciones,"Sí, están en la biblioteca y pueden reservarse con tu credencial desde la recepción o el sistema en línea.","¿Hay salas de estudio grupal disponibles? Sí, están en la biblioteca y pueden reservarse con tu credencial desde la recepción o el sistema en línea.",¿Hay salas de estudio grupal disponibles? instalaciones
¿Qué condiciones aplican para ingresar al campus los fines de semana?,instalaciones,"El ingreso durante los fines de semana está permitido solo si tienes clases programadas, eventos oficiales o una autorización previa expedida por coordinación académica.","¿Qué condiciones aplican para ingresar al campus los fines de semana? El ingreso durante los fines de semana está permitido solo si tienes clases programadas, eventos oficiales o una autorización previa expedida por coordinación académica.",¿Qué condiciones aplican para ingresar al campus los fines de semana? instalaciones
¿Las aulas cuentan con conexión a internet?,instalaciones,"Sí, todas las aulas principales tienen acceso a la red Wi-Fi institucional.","¿Las aulas cuentan con conexión a internet? Sí, todas las aulas principales tienen acceso a la red Wi-Fi institucional.",¿Las aulas cuentan con conexión a internet? instalaciones
¿Qué espacios hay para descansar entre clases?,instalaciones,"Hay zonas verdes, bancas techadas y salones de descanso en varios bloques del campus.","¿Qué espacios hay para descansar entre clases? Hay zonas verdes, bancas techadas y salones de descanso en varios bloques del campus.",¿Qué espacios hay para descansar entre clases? instalaciones
¿Quién supervisa el uso de los laboratorios?,instalaciones,"Cada laboratorio cuenta con un encargado responsable del equipo, seguridad y cumplimiento de normas.","¿Quién supervisa el uso de los laboratorios? Cada laboratorio cuenta con un encargado responsable del equipo, seguridad y cumplimiento de normas.",¿Quién supervisa el uso de los laboratorios? instalaciones
¿Dónde se puede recargar el carné para servicios internos?,instalaciones,En las máquinas de autoservicio ubicadas en la biblioteca o en el módulo financiero del campus.,¿Dónde se puede recargar el carné para servicios internos? En las máquinas de autoservicio ubicadas en la biblioteca o en el módulo financiero del campus.,¿Dónde se puede recargar el carné para servicios internos? instalaciones
¿Cuándo debo solicitar la constancia de prácticas profesionales?,tramites,"Antes de iniciar tus prácticas, solicita la constancia en tu facultad. Debes presentar tu carta de aceptación de la empresa.","¿Cuándo debo solicitar la constancia de prácticas profesionales? Antes de iniciar tus prácticas, solicita la constancia en tu facultad. Debes presentar tu carta de aceptación de la empresa.",¿Cuándo debo solicitar la constancia de prácticas profesionales? tramites
¿Dónde puedo solicitar una carta de presentación institucional?,tramites,Puedes solicitarla en coordinación académica. Debes indicar el propósito y destinatario de la carta.,¿Dónde puedo solicitar una carta de presentación institucional? Puedes solicitarla en coordinación académica. Debes indicar el propósito y destinatario de la carta.,¿Dónde puedo solicitar una carta de presentación institucional? tramites
¿Qué documentos necesito para tramitar mi título profesional?,tramites,"Debes presentar: acta de grado, certificado de notas, cédula, recibo de pago y formato de solicitud de título.","¿Qué documentos necesito para tramitar mi título profesional? Debes presentar: acta de grado, certificado de notas, cédula, recibo de pago y formato de solicitud de título.",¿Qué documentos necesito para tramitar mi título profesional? tramites
¿Cuánto tarda la entrega de una constancia de inscripción?,tramites,Generalmente entre 24 y 48 horas hábiles. Puedes consultarlo en la ventanilla de servicios escolares.,¿Cuánto tarda la entrega de una constancia de inscripción? Generalmente entre 24 y 48 horas hábiles. Puedes consultarlo en la ventanilla de servicios escolares.,¿Cuánto tarda la entrega de una constancia de inscripción? tramites
¿Puedo tramitar mi certificado de notas digitalmente?,tramites,"Sí, algunos certificados están disponibles en el portal institucional. Requiere autenticación con usuario y contraseña.","¿Puedo tramitar mi certificado de notas digitalmente? Sí, algunos certificados están disponibles en el portal institucional. Requiere autenticación con usuario y contraseña.",¿Puedo tramitar mi certificado de notas digitalmente? tramites
¿Qué hacer si mis datos personales aparecen incorrectos en un certificado?,tramites,Debes reportarlo a servicios escolares y presentar documento válido que justifique la corrección.,¿Qué hacer si mis datos personales aparecen incorrectos en un certificado? Debes reportarlo a servicios escolares y presentar documento válido que justifique la corrección.,¿Qué hacer si mis datos personales aparecen incorrectos en un certificado? tramites
¿Puedo tramitar mi certificado de egreso si no he recibido el título?,tramites,"Sí, puedes solicitar un certificado provisional de egreso mientras se tramita tu título oficial.","¿Puedo tramitar mi certificado de egreso si no he recibido el título? Sí, puedes solicitar un certificado provisional de egreso mientras se tramita tu título oficial.",¿Puedo tramitar mi certificado de egreso si no he recibido el título? tramites
¿Qué hacer si extravío mi acta de grado?,tramites,Solicita un duplicado en coordinación académica. Deberás pagar un valor administrativo y presentar identificación oficial.,¿Qué hacer si extravío mi acta de grado? Solicita un duplicado en coordinación académica. Deberás pagar un valor administrativo y presentar identificación oficial.,¿Qué hacer si extravío mi acta de grado? tramites
¿Cómo puedo recibir mis documentos si vivo en otra ciudad?,tramites,Puedes solicitar envío certificado a tu domicilio. Verifica disponibilidad y costos con servicios escolares.,¿Cómo puedo recibir mis documentos si vivo en otra ciudad? Puedes solicitar envío certificado a tu domicilio. Verifica disponibilidad y costos con servicios escolares.,¿Cómo puedo recibir mis documentos si vivo en otra ciudad? tramites
¿Cuál es el costo promedio de un trámite académico?,tramites,Varía según el documento. Puedes consultar el tarifario actualizado en el portal institucional o en caja.,¿Cuál es el costo promedio de un trámite académico? Varía según el documento. Puedes consultar el tarifario actualizado en el portal institucional o en caja.,¿Cuál es el costo promedio de un trámite académico? tramites
¿Hay espacios disponibles para hacer presentaciones estudiantiles?,instalaciones,"Sí, puedes reservar auditorios o salas multimedia con anticipación en coordinación académica.","¿Hay espacios disponibles para hacer presentaciones estudiantiles? Sí, puedes reservar auditorios o salas multimedia con anticipación en coordinación académica.",¿Hay espacios disponibles para hacer presentaciones estudiantiles? instalaciones
¿Qué servicios ofrece la biblioteca además del préstamo de libros?,instalaciones,"Incluye salas de estudio, bases de datos digitales, asesoría bibliográfica y préstamo de equipos.","¿Qué servicios ofrece la biblioteca además del préstamo de libros? Incluye salas de estudio, bases de datos digitales, asesoría bibliográfica y préstamo de equipos.",¿Qué servicios ofrece la biblioteca además del préstamo de libros? instalaciones
¿Se necesita autorización para usar los proyectores de las aulas?,instalaciones,"Sí, aunque los proyectores están instalados en la mayoría de las aulas, su uso requiere coordinación previa con el docente responsable o con el área de soporte técnico.","¿Se necesita autorización para usar los proyectores de las aulas? Sí, aunque los proyectores están instalados en la mayoría de las aulas, su uso requiere coordinación previa con el docente responsable o con el área de soporte técnico.",¿Se necesita autorización para usar los proyectores de las aulas? instalaciones
¿Dónde están ubicados los salones de dibujo técnico?,instalaciones,"Están en el bloque C, segundo piso. Puedes consultarlo también en el plano del campus.","¿Dónde están ubicados los salones de dibujo técnico? Están en el bloque C, segundo piso. Puedes consultarlo también en el plano del campus.",¿Dónde están ubicados los salones de dibujo técnico? instalaciones
¿Hay espacios para actividades artísticas?,instalaciones,"Sí, existe una sala cultural disponible para música, teatro y talleres artísticos previa reserva.","¿Hay espacios para actividades artísticas? Sí, existe una sala cultural disponible para música, teatro y talleres artísticos previa reserva.",¿Hay espacios para actividades artísticas? instalaciones
¿Se puede usar el comedor universitario sin clase ese día?,instalaciones,"Sí, siempre que tengas credencial vigente. El servicio está disponible a todos los estudiantes.","¿Se puede usar el comedor universitario sin clase ese día? Sí, siempre que tengas credencial vigente. El servicio está disponible a todos los estudiantes.",¿Se puede usar el comedor universitario sin clase ese día? instalaciones
